region_label,atlas_label
Precentral_L,AAL
Precentral_R,AAL
Frontal_Sup_2_L,AAL
Frontal_Sup_2_R,AAL
Frontal_Mid_2_L,AAL
Frontal_Mid_2_R,AAL
Frontal_Inf_Oper_L,AAL
Frontal_Inf_Oper_R,AAL
Frontal_Inf_Tri_L,AAL
Frontal_Inf_Tri_R,AAL
Frontal_Inf_Orb_2_L,AAL
Frontal_Inf_Orb_2_R,AAL
Rolandic_Oper_L,AAL
Rolandic_Oper_R,AAL
Supp_Motor_Area_L,AAL
Supp_Motor_Area_R,AAL
Olfactory_L,AAL
Olfactory_R,AAL
Frontal_Sup_Medial_L,AAL
Frontal_Sup_Medial_R,AAL
Frontal_Med_Orb_L,AAL
Frontal_Med_Orb_R,AAL
Rectus_L,AAL
Rectus_R,AAL
OFCmed_L,AAL
OFCmed_R,AAL
OFCant_L,AAL
OFCant_R,AAL
OFCpost_L,AAL
OFCpost_R,AAL
OFClat_L,AAL
OFClat_R,AAL
Insula_L,AAL
Insula_R,AAL
Cingulate_Ant_L,AAL
Cingulate_Ant_R,AAL
Cingulate_Mid_L,AAL
Cingulate_Mid_R,AAL
Cingulate_Post_L,AAL
Cingulate_Post_R,AAL
Hippocampus_L,AAL
Hippocampus_R,AAL
ParaHippocampal_L,AAL
ParaHippocampal_R,AAL
Amygdala_L,AAL
Amygdala_R,AAL
Calcarine_L,AAL
Calcarine_R,AAL
Cuneus_L,AAL
Cuneus_R,AAL
Lingual_L,AAL
Lingual_R,AAL
Occipital_Sup_L,AAL
Occipital_Sup_R,AAL
Occipital_Mid_L,AAL
Occipital_Mid_R,AAL
Occipital_Inf_L,AAL
Occipital_Inf_R,AAL
Fusiform_L,AAL
Fusiform_R,AAL
Postcentral_L,AAL
Postcentral_R,AAL
Parietal_Sup_L,AAL
Parietal_Sup_R,AAL
Parietal_Inf_L,AAL
Parietal_Inf_R,AAL
SupraMarginal_L,AAL
SupraMarginal_R,AAL
Angular_L,AAL
Angular_R,AAL
Precuneus_L,AAL
Precuneus_R,AAL
Paracentral_Lobule_L,AAL
Paracentral_Lobule_R,AAL
Caudate_L,AAL
Caudate_R,AAL
Putamen_L,AAL
Putamen_R,AAL
Pallidum_L,AAL
Pallidum_R,AAL
Thalamus_L,AAL
Thalamus_R,AAL
Heschl_L,AAL
Heschl_R,AAL
Temporal_Sup_L,AAL
Temporal_Sup_R,AAL
